sample-id	forward-absolute-filepath	reverse-absolute-filepath
FOB14-T0	/home/lohmanne/Qiime2/data/2/OB14IS-F_S7_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB14IS-F_S7_L001_R2_001.fastq.gz
FOB15-T6	/home/lohmanne/Qiime2/data/2/OB15FS-F_S27_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB15FS-F_S27_L001_R2_001.fastq.gz
FOB15-T12	/home/lohmanne/Qiime2/data/2/OB15FS2-F_S42_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB15FS2-F_S42_L001_R2_001.fastq.gz
FOB15-T0	/home/lohmanne/Qiime2/data/2/OB15IS-F_S8_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB15IS-F_S8_L001_R2_001.fastq.gz
FOB16-T12	/home/lohmanne/Qiime2/data/2/OB16FS2-F_S43_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB16FS2-F_S43_L001_R2_001.fastq.gz
FOB16-T0	/home/lohmanne/Qiime2/data/2/OB16IS-F_S9_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB16IS-F_S9_L001_R2_001.fastq.gz
FOB17-T6	/home/lohmanne/Qiime2/data/2/OB17FS-F_S28_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB17FS-F_S28_L001_R2_001.fastq.gz
FOB17-T12	/home/lohmanne/Qiime2/data/2/OB17FS2-F_S44_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB17FS2-F_S44_L001_R2_001.fastq.gz
FOB17-T0	/home/lohmanne/Qiime2/data/2/OB17IS-F_S10_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB17IS-F_S10_L001_R2_001.fastq.gz
FOB18-T6	/home/lohmanne/Qiime2/data/2/OB18FS-F_S29_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB18FS-F_S29_L001_R2_001.fastq.gz
FOB18-T12	/home/lohmanne/Qiime2/data/2/OB18FS2-F_S45_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB18FS2-F_S45_L001_R2_001.fastq.gz
FOB18-T0	/home/lohmanne/Qiime2/data/2/OB18IS-F_S11_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB18IS-F_S11_L001_R2_001.fastq.gz
FOB20-T0	/home/lohmanne/Qiime2/data/2/OB20IS-F_S12_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB20IS-F_S12_L001_R2_001.fastq.gz
FOB22-T6	/home/lohmanne/Qiime2/data/2/OB22FS-F_S30_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB22FS-F_S30_L001_R2_001.fastq.gz
FOB22-T12	/home/lohmanne/Qiime2/data/2/OB22FS2-F_S46_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB22FS2-F_S46_L001_R2_001.fastq.gz
FOB22-T0	/home/lohmanne/Qiime2/data/2/OB22IS-F_S13_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB22IS-F_S13_L001_R2_001.fastq.gz
FOB36-T0	/home/lohmanne/Qiime2/data/2/OB36IS-F_S35_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/2/OB36IS-F_S35_L001_R2_001.fastq.gz
