sample-id	forward-absolute-filepath	reverse-absolute-filepath
S0612-T0	/home/lohmanne/Qiime2/data/4/S_0612_Twins-saliva_S84_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0612_Twins-saliva_S84_L001_R2_001.fastq.gz
S0713-T0	/home/lohmanne/Qiime2/data/4/S_0713_Twins-saliva_S85_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0713_Twins-saliva_S85_L001_R2_001.fastq.gz
S0714-T0	/home/lohmanne/Qiime2/data/4/S_0714_Twins-saliva_S86_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0714_Twins-saliva_S86_L001_R2_001.fastq.gz
S0815-T0	/home/lohmanne/Qiime2/data/4/S_0815_Twins-saliva_S87_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0815_Twins-saliva_S87_L001_R2_001.fastq.gz
S0816-T0	/home/lohmanne/Qiime2/data/4/S_0816_Twins-saliva_S88_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0816_Twins-saliva_S88_L001_R2_001.fastq.gz
S0917-T0	/home/lohmanne/Qiime2/data/4/S_0917_Twins-saliva_S89_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0917_Twins-saliva_S89_L001_R2_001.fastq.gz
S0918-T0	/home/lohmanne/Qiime2/data/4/S_0918_Twins-saliva_S90_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_0918_Twins-saliva_S90_L001_R2_001.fastq.gz
SOB01-T6	/home/lohmanne/Qiime2/data/4/S_OB01FS_Obese-saliva_S51_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB01FS_Obese-saliva_S51_L001_R2_001.fastq.gz
SOB01-T12	/home/lohmanne/Qiime2/data/4/S_OB01FS2_Obese-saliva_S66_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB01FS2_Obese-saliva_S66_L001_R2_001.fastq.gz
SOB03-T0	/home/lohmanne/Qiime2/data/4/S_OB03_Obese-saliva_S37_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB03_Obese-saliva_S37_L001_R2_001.fastq.gz
SOB03-T6	/home/lohmanne/Qiime2/data/4/S_OB03FS_Obese-saliva_S52_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB03FS_Obese-saliva_S52_L001_R2_001.fastq.gz
SOB12-T0	/home/lohmanne/Qiime2/data/4/S_OB12_Obese-saliva_S38_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB12_Obese-saliva_S38_L001_R2_001.fastq.gz
SOB12-T6	/home/lohmanne/Qiime2/data/4/S_OB12FS_Obese-saliva_S53_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB12FS_Obese-saliva_S53_L001_R2_001.fastq.gz
SOB12-T12	/home/lohmanne/Qiime2/data/4/S_OB12FS2_Obese-saliva_S68_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB12FS2_Obese-saliva_S68_L001_R2_001.fastq.gz
SOB25-T12	/home/lohmanne/Qiime2/data/4/S_OB25FS2_Obese-saliva_S69_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB25FS2_Obese-saliva_S69_L001_R2_001.fastq.gz
SOB26-T12	/home/lohmanne/Qiime2/data/4/S_OB26FS2_Obese-saliva_S70_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB26FS2_Obese-saliva_S70_L001_R2_001.fastq.gz
SOB27-T12	/home/lohmanne/Qiime2/data/4/S_OB27FS2_Obese-saliva_S71_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB27FS2_Obese-saliva_S71_L001_R2_001.fastq.gz
SOB28-T12	/home/lohmanne/Qiime2/data/4/S_OB28FS2_Obese-saliva_S72_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB28FS2_Obese-saliva_S72_L001_R2_001.fastq.gz
SOB29-T12	/home/lohmanne/Qiime2/data/4/S_OB29FS2_Obese-saliva_S73_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB29FS2_Obese-saliva_S73_L001_R2_001.fastq.gz
SOB30-T12	/home/lohmanne/Qiime2/data/4/S_OB30FS2_Obese-saliva_S74_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB30FS2_Obese-saliva_S74_L001_R2_001.fastq.gz
SOB31-T12	/home/lohmanne/Qiime2/data/4/S_OB31FS2_Obese-saliva_S75_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB31FS2_Obese-saliva_S75_L001_R2_001.fastq.gz
SOB32-T12	/home/lohmanne/Qiime2/data/4/S_OB32FS2_Obese-saliva_S76_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB32FS2_Obese-saliva_S76_L001_R2_001.fastq.gz
SOB33-T12	/home/lohmanne/Qiime2/data/4/S_OB33FS2_Obese-saliva_S77_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB33FS2_Obese-saliva_S77_L001_R2_001.fastq.gz
SOB34-T6	/home/lohmanne/Qiime2/data/4/S_OB34FS_Obese-saliva_S63_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB34FS_Obese-saliva_S63_L001_R2_001.fastq.gz
SOB35-T6	/home/lohmanne/Qiime2/data/4/S_OB35FS_Obese-saliva_S64_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB35FS_Obese-saliva_S64_L001_R2_001.fastq.gz
SOB36-T0	/home/lohmanne/Qiime2/data/4/S_OB36_Obese-saliva_S50_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB36_Obese-saliva_S50_L001_R2_001.fastq.gz
SOB36-T6	/home/lohmanne/Qiime2/data/4/S_OB36FS_Obese-saliva_S65_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OB36FS_Obese-saliva_S65_L001_R2_001.fastq.gz
SOB03-T12	/home/lohmanne/Qiime2/data/4/S_OBO3FS2_Obese-saliva_S67_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_OBO3FS2_Obese-saliva_S67_L001_R2_001.fastq.gz
SPUOB1-T0	/home/lohmanne/Qiime2/data/4/S_PUOB1_Obese-saliva_S36_L001_R1_001.fastq.gz	/home/lohmanne/Qiime2/data/4/S_PUOB1_Obese-saliva_S36_L001_R2_001.fastq.gz
